Title, Action & Adventure, Children & Family Movies, Comedies, Dramas, Horror Movies, Romantic Movies, Thrillers
Slay, 0, 0, 1, 0, 0, 1, 0
Sweet & Sour, 0, 0, 1, 0, 0, 1, 0
Trippin' with the Kandasamys, 0, 0, 1, 0, 0, 1, 0
Just Say Yes, 0, 0, 1, 0, 0, 1, 0
Crazy About Her, 0, 0, 1, 0, 0, 1, 0
Squared Love, 0, 0, 1, 0, 0, 1, 0
Afterlife of the Party, 0, 0, 1, 0, 0, 1, 0
He's All That, 0, 0, 1, 0, 0, 1, 0
The Kissing Booth 3, 0, 0, 1, 0, 0, 1, 0
Resort to Love, 0, 0, 1, 0, 0, 1, 0
Good on Paper, 0, 0, 1, 0, 0, 1, 0
To All The Boys: Always And Forever, 0, 0, 1, 0, 0, 1, 0
I Care a Lot, 0, 0, 1, 0, 0, 0, 1
The House of Flowers: The Movie, 0, 0, 1, 0, 0, 0, 0
Carnaval, 0, 0, 1, 0, 0, 0, 0
Bankrolled, 0, 0, 1, 0, 0, 0, 0
What Happened to Mr. Cha?, 0, 0, 1, 0, 0, 0, 0
Cinema Bandi, 0, 0, 1, 0, 0, 0, 0
One Lagos Night, 0, 0, 1, 0, 0, 0, 0
Get the Grift, 0, 0, 1, 0, 0, 0, 0
Tell Me When, 0, 0, 1, 0, 0, 0, 0
The Misadventures of Hedi and Cokeman, 0, 0, 1, 0, 0, 0, 0
The Upshaws - The Afterparty, 0, 0, 1, 0, 0, 0, 0
The Circle - The Afterparty, 0, 0, 1, 0, 0, 0, 0
Dad Stop Embarrassing Me - The Afterparty, 0, 0, 1, 0, 0, 0, 0
Bad Trip, 0, 0, 1, 0, 0, 0, 0
JJ+E, 0, 0, 0, 1, 0, 1, 0
Man in Love, 0, 0, 0, 1, 0, 1, 0
The Tambour of Retribution, 0, 0, 0, 1, 0, 1, 0
My Amanda, 0, 0, 0, 1, 0, 1, 0
Last Summer, 0, 0, 0, 1, 0, 1, 0
Tersanjung the Movie, 0, 0, 0, 1, 0, 1, 0
Caught by a Wave, 0, 0, 0, 1, 0, 1, 0
C/O Kaadhal, 0, 0, 0, 1, 0, 1, 0
Geez & Ann, 0, 0, 0, 1, 0, 1, 0
The Last Letter From Your Lover, 0, 0, 0, 1, 0, 1, 0
The Father Who Moves Mountains, 0, 0, 0, 1, 0, 0, 1
Deep, 0, 0, 0, 1, 0, 0, 1
Prime Time, 0, 0, 0, 1, 0, 0, 1
Security, 0, 0, 0, 1, 0, 0, 1
Ferry, 0, 0, 0, 1, 0, 0, 1
I Am All Girls, 0, 0, 0, 1, 0, 0, 1
Oxygen, 0, 0, 0, 1, 0, 0, 1
Nayattu, 0, 0, 0, 1, 0, 0, 1
Stowaway, 0, 0, 0, 1, 0, 0, 1
The Soul, 0, 0, 0, 1, 0, 0, 1
Awake, 0, 0, 0, 1, 0, 0, 1
The Woman in the Window, 0, 0, 0, 1, 0, 0, 1
Baggio: The Divine Ponytail, 0, 0, 0, 1, 0, 0, 0
99 Songs, 0, 0, 0, 1, 0, 0, 0
99 Songs (Tamil), 0, 0, 0, 1, 0, 0, 0
99 Songs (Telugu), 0, 0, 0, 1, 0, 0, 0
Ride or Die, 0, 0, 0, 1, 0, 0, 0
Wish You, 0, 0, 0, 1, 0, 0, 0
Je Suis Karl, 0, 0, 0, 1, 0, 0, 0
Thimmarusu, 0, 0, 0, 1, 0, 0, 0
Ankahi Kahaniya, 0, 0, 0, 1, 0, 0, 0
I missed you: Director's Cut, 0, 0, 0, 1, 0, 0, 0
African America, 0, 0, 0, 1, 0, 0, 0
Tragic Jungle, 0, 0, 0, 1, 0, 0, 0
Ahaan, 0, 0, 0, 1, 0, 0, 0
Dance of the Forty One, 0, 0, 0, 1, 0, 0, 0
Milestone, 0, 0, 0, 1, 0, 0, 0
The Disciple, 0, 0, 0, 1, 0, 0, 0
Ajeeb Daastaans, 0, 0, 0, 1, 0, 0, 0
Concrete Cowboy, 0, 0, 0, 1, 0, 0, 0
Coven of Sisters, 0, 0, 0, 1, 0, 0, 0
Bombay Rose, 0, 0, 0, 1, 0, 0, 0
Malcolm & Marie, 0, 0, 0, 1, 0, 0, 0
A Family, 0, 0, 0, 1, 0, 0, 0
Camellia Sisters, 0, 0, 0, 1, 0, 0, 0
Night in Paradise, 0, 0, 0, 1, 0, 0, 0
Madame Claude, 0, 0, 0, 1, 0, 0, 0
Paper Lives, 0, 0, 0, 1, 0, 0, 0
Red, 0, 0, 0, 1, 0, 0, 0
The Dig, 0, 0, 0, 1, 0, 0, 0
Tribhanga - Tedhi Medhi Crazy, 0, 0, 0, 1, 0, 0, 0
Worth, 0, 0, 0, 1, 0, 0, 0
Cousins, 0, 0, 0, 1, 0, 0, 0
Fatherhood, 0, 0, 0, 1, 0, 0, 0
Monster, 0, 0, 0, 1, 0, 0, 0
Two Distant Strangers, 0, 0, 0, 1, 0, 0, 0
The White Tiger, 0, 0, 0, 1, 0, 0, 0
Boomika, 0, 0, 0, 0, 1, 0, 1
Boomika (Hindi), 0, 0, 0, 0, 1, 0, 1
Boomika (Malayalam), 0, 0, 0, 0, 1, 0, 1
Boomika (Telugu), 0, 0, 0, 0, 1, 0, 1
Kingdom: Ashin of the North, 0, 0, 0, 0, 1, 0, 1
The 8th Night, 0, 0, 0, 0, 1, 0, 1
Ghost Lab, 0, 0, 0, 0, 1, 0, 1
HOMUNCULUS, 0, 0, 0, 0, 1, 0, 1
Things Heard & Seen, 0, 0, 0, 0, 1, 0, 1
Fear Street Part 3: 1666, 0, 0, 0, 0, 1, 0, 0
